metric,PRE,POST,delta_abs,delta_pct
N,1877254.0,1998947.0,121693.0,6.482500503394853
P50,0.001512999995611608,0.001509999972768128,-3.00002284348011e-06,-0.1982830702036714
P95,0.0024059999268501997,0.002228999976068735,-0.00017699995078146458,-7.356606656808299
P99,0.005663999821990728,0.004726999904960394,-0.0009369999170303345,-16.5430781511043
P99.9,0.031874001026153564,0.04389987513422966,0.012025874108076096,37.72941494921992
MAX,29.5014705657959,14.896076202392578,-14.60539436340332,-49.507343475741386
>50ms_count,835.0,1450.0,615.0,73.65269461077844
>50ms_per_M,444.7986260783037,725.3819135774986,280.5832874991949,63.08096991509146
>200ms_count,282.0,207.0,-75.0,-26.595744680851062
>200ms_per_M,150.2194162324331,103.55452145554635,-46.664894776886754,-31.06448949627297
>1s_count,59.0,27.0,-32.0,-54.23728813559322
>1s_per_M,31.428884956431045,13.507111494201697,-17.921773462229346,-57.023255795023545
>5s_count,33.0,10.0,-23.0,-69.6969696969697
>5s_per_M,17.578867856986854,5.0026338867413696,-12.576233970245484,-71.54177431993702
>10s_count,12.0,4.0,-8.0,-66.66666666666666
>10s_per_M,6.392315584358856,2.001053554696548,-4.391262029662308,-68.69595175193072
≥15s_count,7.0,0.0,-7.0,-100.0
≥15s_per_M,3.728850757542666,0.0,-3.728850757542666,-100.0
≥20s_count,6.0,0.0,-6.0,-100.0
≥20s_per_M,3.196157792179428,0.0,-3.196157792179428,-100.0
